
KD_KEC	   KD_KEL     NM_KECAMATAN		NM_KELURAHAN
---------- ---------- ------------------------- ------------------------------
010	   001	      TEMPURSARI		TEGALREJO
010	   002	      TEMPURSARI		BULUREJO
010	   003	      TEMPURSARI		TEMPURREJO
010	   004	      TEMPURSARI		PUROREJO
010	   005	      TEMPURSARI		TEMPURSARI
010	   006	      TEMPURSARI		PUNDUNGSARI
010	   007	      TEMPURSARI		KALIULING
020	   001	      PRONOJIWO 		SIDOMULYO
020	   002	      PRONOJIWO 		TAMANAYU
020	   003	      PRONOJIWO 		SUMBERURIP
020	   004	      PRONOJIWO 		ORO-OROOMBO
020	   005	      PRONOJIWO 		SUPITURANG
020	   006	      PRONOJIWO 		PRONOJIWO
030	   001	      CANDIPURO 		YUGOSARI
030	   002	      CANDIPURO 		JARIT
030	   003	      CANDIPURO 		CANDIPURO
030	   004	      CANDIPURO 		SUMBERREJO
030	   005	      CANDIPURO 		SUMBERWULUH
030	   006	      CANDIPURO 		SUMBERMUJUR
030	   007	      CANDIPURO 		PENANGGAL
030	   008	      CANDIPURO 		TAMBAKREJO
030	   009	      CANDIPURO 		KLOPOSAWIT
030	   010	      CANDIPURO 		TUMPENG
040	   001	      PASIRIAN			GONDORUSO
040	   002	      PASIRIAN			BADES
040	   003	      PASIRIAN			BAGO
040	   004	      PASIRIAN			SELOKAWAR-AWAR
040	   005	      PASIRIAN			CONDRO
040	   006	      PASIRIAN			KALIBENDO
040	   007	      PASIRIAN			PASIRIAN
040	   008	      PASIRIAN			MADUREJO
040	   009	      PASIRIAN			SEMEMU
040	   010	      PASIRIAN			NGUTER
040	   011	      PASIRIAN			SELOKANYAR
050	   001	      TEMPEH			PANDANWANGI
050	   002	      TEMPEH			SUMBERJATI
050	   003	      TEMPEH			TEMPEHKIDUL
050	   004	      TEMPEH			LEMPENI
050	   005	      TEMPEH			TEMPEHTENGAH
050	   006	      TEMPEH			KALIWUNGU
050	   007	      TEMPEH			TEMPEHLOR
050	   008	      TEMPEH			BESUK
050	   009	      TEMPEH			PULO
050	   010	      TEMPEH			JATISARI
050	   011	      TEMPEH			GESANG
050	   012	      TEMPEH			JOKARTO
050	   013	      TEMPEH			PANDANARUM
060	   008	      LUMAJANG			BANJARWARU
060	   009	      LUMAJANG			LABRUKLOR
060	   010	      LUMAJANG			CITRODIWANGSAN
060	   011	      LUMAJANG			DITOTRUNAN
060	   012	      LUMAJANG			JOGOTRUNAN
060	   013	      LUMAJANG			DENOK
060	   014	      LUMAJANG			BLUKON
060	   015	      LUMAJANG			BORENG
060	   016	      LUMAJANG			JOGOYUDAN
060	   017	      LUMAJANG			ROGOTRUNAN
060	   018	      LUMAJANG			TOMPOKERSAN
060	   019	      LUMAJANG			KEPUHARJO
061	   001	      SUMBERSUKO		SUMBERSUKO
061	   002	      SUMBERSUKO		KEBONSARI
061	   003	      SUMBERSUKO		GRATI
061	   004	      SUMBERSUKO		LABRUKKIDUL
061	   005	      SUMBERSUKO		MOJOSARI
061	   006	      SUMBERSUKO		PURWOSONO
061	   007	      SUMBERSUKO		PETAHUNAN
061	   008	      SUMBERSUKO		SENTUL
070	   001	      TEKUNG			WONOGRIYO
070	   002	      TEKUNG			WONOSARI
070	   003	      TEKUNG			MANGUNSARI
070	   004	      TEKUNG			TEKUNG
